record_id,artist_user_id,title,genre,release_date
record_f51b3320-a539-4b1d-8480-8a3bdbb37423,user_c1843da7-1c73-4a62-976c-b4d9fbd5c68d,Interest too ask,Soul,2020-01-07
record_7c57c87c-77f4-4046-ab3f-e2d57d14cf5f,user_d390582a-b07d-43cc-ae2f-a1bebae4bd9d,Show security institution,Electronic,2020-05-22
record_183da46f-e070-4a61-bcd7-d46fdf5a79d2,user_2909393f-2d44-4442-a632-80ff5a69d6d9,Myself wife,Soul,2020-09-06
record_e8d6f00e-125c-428e-be18-62c1688a863d,user_d56cafca-9e34-4bf5-be9d-a2c357ffb0d5,Drive skin,Blues,2022-02-15
record_c9f5f046-68d8-41a9-9bb2-263486dc3248,user_93dd4bec-b804-44e9-84c9-88af6b5673d7,Could seven rest force,Reggae,2023-08-12
record_44baeb82-4b2c-42fc-90de-95429e6a9c29,user_10dfa3b6-52b6-43a9-835a-ad110ad50ff2,Range world,Disco,2021-12-03
record_6d0135a6-2b25-44c2-ac25-fc98da77b74e,user_bc1b3d82-cd8d-4b35-80b2-0aa44e456b2d,Car Democrat,Gospel,2022-11-09
record_1f536dd3-e326-43be-94c8-be1bc9c6443a,user_a36de87e-9ff3-44a1-aa89-be6abd2f6457,Computer offer central,Punk,2022-07-12
record_e9e7d7ca-cd9b-435d-a5a2-2d5c8cb0213c,user_7f825e94-d6a6-4266-b929-e27f83c202b0,Listen from hand,Techno,2023-12-05
record_bad1baab-f907-4222-a8bc-8efc7138cae1,user_0ff9f9d8-a907-407b-a71a-e02028e4040d,Reflect,Funk,2022-02-02
record_b8f79c86-b9cf-4fd3-ae2b-0aa5e12feaa8,user_cc6102cf-753d-4e7a-8bd1-a5335405b741,Ever real responsibility,Metal,2023-07-11
record_448c659b-084e-4b35-843c-bcc54a6337f8,user_46b61b9d-2a8a-4436-b3ca-2c544c46992e,Them both address,Reggae,2020-02-04
record_62fb19d0-e10c-4fe8-a16c-829e7018f4e5,user_bf4b7630-b9dd-40f0-b534-ef841ea43194,Stand office,Soul,2023-09-12
record_af767ba1-35ea-4096-9fe0-d09eaef63e62,user_94b498aa-2a93-4e8e-8efa-229604beea67,Dinner activity clearly,Punk,2020-11-26
record_11fa8034-56cf-4253-8d40-2acc1c1ded43,user_262fa3ae-4706-432c-b54f-600abb327fb9,Show here,Rock,2022-01-27
record_484b7587-078a-420a-8136-f2ccf427ac02,user_81b9d067-7877-43cf-9793-6fb5ea6f4921,Success use,Gospel,2022-06-28
record_39249f0a-1511-4df8-a832-6cb8025b8f51,user_be70d0e1-070d-49e6-9d38-bc3b50036361,Right stage fall federal,Reggae,2023-07-10
record_c26e7613-59a3-4da5-8aa9-2eb66e89d8cc,user_698f1aee-2361-4313-b1fb-b1a04fc0dc11,Like that,Disco,2021-01-29
record_ffbeb660-21d7-4a07-ac44-0fa37ae88018,user_4d3f9e9e-85d4-4656-83d3-6d5844b7bdfd,Note draw especially,Pop,2021-06-03
record_b64f5794-3952-47c3-9622-b758f5215d49,user_eb19feb8-f1ce-477b-8669-6e7c2027eaf8,Name agent body bar,Folk,2020-12-23
record_06d4b244-bc02-499d-a6af-7969f6cfaedc,user_711954e7-3ed5-4894-adc0-cd8cbc14e1b6,Amount reflect same,Jazz,2020-01-17
record_53ac2267-6396-411a-bc9c-029f67a66be6,user_b9f34628-d1ed-4dd3-b5f8-9a5c0663bb23,Sign customer,R&B,2020-03-17
record_589d1530-e87b-43a2-b263-8e48554ae70c,user_5c5440c4-3e24-4aa2-885a-4e1b262225d2,North expert moment,Soul,2022-07-04
record_13f74a7e-4ac4-46b6-994f-47181256675c,user_83562067-9930-44d8-abfd-9ac6d18ac9ff,Increase difference,Classical,2022-12-25
record_b98dca57-9d80-4b64-9387-a6db861b629a,user_545bd979-3f64-43f1-aa21-c02f4b7d574b,Boy require,Disco,2023-09-17
record_7fd64117-171b-4ee5-81c8-69f6e37ef0a4,user_d055c6b9-f09a-4ec7-bde2-bc10fc9be316,Crime safe interview,Electronic,2022-07-25
record_70c4ea2c-8cef-4d24-b514-31371d6b0098,user_51db6882-d754-4671-98cb-5b0a2e7c8210,Forget prevent picture event,Rock,2022-07-02
record_87a30f3e-c16f-41f1-adb3-76fe768c78cb,user_8588d81c-301f-4444-ae70-de6d34931cbd,Turn certainly style,Indie,2023-09-20
record_d7f63695-20ef-48b1-9d68-cfd2f1da1660,user_3eafc224-9976-446a-ae84-1303e6775331,Dog since,Electronic,2022-01-14
record_1c8824e3-3901-4cb5-a73a-aea6274b7c11,user_25b40ebe-cb50-4a6c-b012-97de3e1cd0e5,Play thus,Latin,2020-06-22
record_0b1243ad-bbe9-431f-acf2-2a3c533b5e2f,user_ef56ef95-1bcd-4591-b1ba-393c6f101e80,Perhaps image relate,Metal,2023-02-26
record_0e49850b-48c4-4984-92f7-3223319e936c,user_a02449e3-a328-47db-99e3-3ea3acf0f7ef,Keep from,Disco,2020-05-11
record_2ec233c2-577a-40a3-b08f-e52c8663d05b,user_80b63994-e7f9-4f57-ab42-88683a70d183,Citizen scene modern,Punk,2023-10-31
record_65bbb6d2-cacd-40b2-847c-67a4fd6231fd,user_a5bef8b6-f8f0-47e1-8533-c48e6c257429,Cell try,Punk,2021-12-10
record_c0b348ca-4982-4776-969c-4b67f5bae590,user_ef8fe53a-cbe0-4ec0-a2c0-1df9c4057f28,Candidate foreign grow,Jazz,2020-11-27
record_8bb6632b-ef94-4387-8e0c-08eb44265a71,user_4a9ffbf6-5430-45a4-b68e-0ae6f6737d8b,Question war,Folk,2023-05-28
record_50bd3a93-0dc6-4cdb-ac56-186b8778d0ea,user_270ed6ba-8f25-4337-abc7-70d6d603c214,Memory never,Folk,2022-03-04
record_72ed05f4-d1d1-4d9c-917b-c012f9f9131a,user_6992006b-130a-4ec4-ae76-ebf8739ccf0b,Picture financial reduce,Classical,2020-03-16
record_112c12fe-684b-4a8f-8ef4-99c9f8bf81f9,user_f26dab99-8635-4aad-9355-8e707f7dbc50,Body give,Classical,2023-12-14
record_9006804b-8f34-4d98-9b07-821ee0bd33e7,user_18c7c788-f894-4faf-bcfd-a85147994435,Drop country,Electronic,2021-05-18
record_15de3678-fa38-48f1-8c7e-c522fc280c57,user_00b96163-8656-463c-b5f9-3373f0d8ef8f,Second social,Electronic,2023-06-26
record_9eb33f0e-fc62-4ede-a558-a13a9276391e,user_28adf184-ee46-4e5e-99e7-c8bc77644a91,Manage measure,Pop,2023-06-27
record_139c8bf1-0d73-4e5a-8002-4f11e98eb4a9,user_0b710364-1a30-4352-81b1-49d97055713c,Few professor population,Soul,2022-09-20
record_ca767f2b-60a8-4896-a9e3-952ebb6c59f0,user_705aee01-9e59-4941-a09a-3dcd86480e86,Marriage government event,Latin,2023-12-05
record_9b901034-59cf-4707-9bc4-76dd800de8a8,user_e7925774-f0e0-41f2-8f39-7747868782c4,Value type win,Country,2023-07-16
record_44f6b1da-e58e-4695-89e4-d164b9969495,user_f5f0530f-e229-401c-b2e7-10a16aec386c,Their,Country,2023-03-07
record_0530b445-895d-457b-ab7f-c83248085942,user_7da5ccfb-2e70-4bbb-9ffc-f87e45f87cf1,Police yes,Gospel,2021-09-05
record_9ad0e08a-2a3a-45d3-ae20-8e8c6b6869fc,user_7f839d86-1ac5-40e8-adca-e98460a5da7d,Nothing candidate,Indie,2023-04-20
record_3856a09e-1dbe-4f5d-a660-99bb2e76ed83,user_bab3f848-261f-4056-a865-4f01793058a3,Show realize,Techno,2020-07-01
record_c6f2cf1e-06b6-466a-96e6-0f8c082cfa7f,user_16a4c782-cb57-4c3b-859d-11eae6fb787b,Bed,Indie,2022-12-16
record_0d449267-3db5-49c6-85de-23e51421e6fd,user_457ad608-9661-4384-9919-1d89c52fd0de,Stage program,Folk,2021-09-22
record_75d9658c-3f72-4f4f-ae9a-5f48c18f488e,user_f921401a-7991-4db2-9491-2cb32b4146db,Case director energy,Funk,2022-02-13
record_107e6408-cced-46e1-99f3-c49c25480e13,user_b76b00e9-cdd0-422c-85fe-3037f7b5d6e2,People number sign,Blues,2020-09-06
record_13de16ad-8248-4ddc-8aa9-098676cd092e,user_43657ae1-59b5-470e-bfdc-9e4ff7e3be74,Recognize shoulder,Techno,2022-01-25
record_da508e80-6764-4676-b055-ee656ccb5071,user_377075cd-a1c3-4f19-816c-0fdcfc973607,Nature agent budget,Reggae,2020-05-15
record_cc1c10f5-02db-46ad-81ac-a91b24c8b386,user_14358afa-97ae-43e8-bffc-bccc0a2509e9,Military keep,Jazz,2023-09-09
record_6b808638-bae8-4a90-beca-c8f224e50ddb,user_1fcd340c-aef1-4633-a2e9-c6321864b606,Training citizen many,Reggae,2023-12-30
record_0ded020d-1641-4f39-9f5d-519a6f267811,user_b26fbc8f-e3c8-426f-9d4c-77eec730bacd,Tonight large suggest,Pop,2022-07-07
record_c93514e4-3fb3-43e5-ac4e-0b80b8793101,user_6f5fd3e4-5917-46a6-ba38-9fd920edb8d1,Watch admit,Gospel,2022-03-02
record_f47a6989-bfe5-40d2-9245-35baaae6c7b4,user_b899bef7-8fe3-4c2e-bff3-bd3af3c8e344,Media never road deep,Gospel,2023-03-24
record_f4b41a20-2d7e-424e-9a7b-b4fbecfb8162,user_60a4da2a-a938-4987-8634-b17942c753e6,Serve either think,Metal,2022-11-30
record_3a24c473-f4c0-4556-b8b5-6063a3a8ff4f,user_d383327a-dd9c-4a4f-bbaf-262c7a6d90a0,Indicate similar,Reggae,2023-07-15
record_cabbf6ad-0e39-4c7e-9c06-7b0ddb22edfa,user_8929aa6d-3cab-4a72-85f6-6a33d8e69dc7,Physical probably,Metal,2021-09-10
record_e0ead86c-b187-4e50-8b40-ebdd95396f3e,user_e7e6b288-eccf-4e8d-8ca3-414032972a89,Weight history level action,Hip-Hop,2020-03-07
record_abb6cfa1-6ac2-4044-a181-79b8092c689c,user_0d29d7f5-4482-4c26-8c28-7a5538603482,Year,Latin,2020-05-23
record_752cbafe-9b7f-487f-a57b-9c79998ef08d,user_45b6bfb5-8583-4674-b00c-98156f632a17,Think well what,Gospel,2021-12-06
record_6819360c-7121-470f-84d9-2c9d83ff36fe,user_5d548e33-55c4-4a8e-b78e-378e83ea5d8b,Place up,Rock,2022-11-30
record_bab18e98-39da-4e3e-bba8-0ca1d6f698d5,user_67d94733-c5bc-49e5-be21-214a3ddaaa5c,Prevent watch,Metal,2021-12-05
record_bad09a23-31df-4e6f-a98d-4758cb8dc768,user_2697082a-a717-43ac-8f90-ec42f7d0f361,Or mean ground,Hip-Hop,2023-10-09
record_a11e062e-2a95-4947-a9eb-db47d1c2066d,user_83a40c0c-573e-44ec-8cac-b5951513f88b,Daughter president least,Folk,2021-04-11
record_3674e705-2e45-4c3b-9535-9d68bcc9b9a7,user_cb031078-240c-4854-8138-fe501f22aa64,Wish physical industry above,Metal,2023-02-14
record_8e8e27bb-b28d-4f5d-926a-7ec0389f8db9,user_e37d7018-7a73-4c72-b008-c528fbbc2dd6,Form similar,Pop,2021-06-29
record_4f0abb40-f4cf-4cb2-b191-8ca3a65aeed2,user_2b168709-9874-4018-a598-95ad3a213715,Occur just,Hip-Hop,2023-03-14
record_e8027d32-eaaa-4d5f-9f7b-f364b757d88d,user_b7d4914f-294f-47fb-8f67-5ba4d7fb4010,Talk history,Country,2023-12-06
record_bfe5b70d-1718-4939-b660-fef95515d738,user_df3e7ef1-4a35-451b-9ee0-539f4dc29e93,Book rest,Classical,2023-09-14
record_b1da3adb-12cb-4950-9b3f-298b020861c2,user_cc7c0847-e810-43a6-9e92-1a2b2fea6e5c,Very like,Blues,2020-07-17
record_5fd917c3-8a4d-4555-be72-23d775b09d67,user_980f1916-c49f-4a20-b22a-ee39d8407abf,Against well there,Rock,2023-10-25
record_f1b2e7d1-789e-46fc-9e35-b0d837b37310,user_39c15f65-04ab-4449-acad-af21bb7303e2,Term until,Gospel,2020-09-21
record_13260326-5157-4036-a291-2088f15b01c0,user_2005b574-0cbc-4042-aacc-3dc23f7b4696,Compare,Electronic,2021-03-13
record_e0cb1f8b-3e03-4e07-8453-7f6aab24d017,user_05f9132b-47fb-4d2b-992c-17b3c4afb2df,Discussion,Classical,2021-05-29
record_599e8ced-2efb-4d7a-b8c1-af795e6a6ebb,user_f0a3d378-74cd-4498-9ef3-5bc90111a6cb,Trial main,Rock,2022-06-29
record_68442a00-53f7-4457-a18c-3dafdec66ce0,user_7abd2d96-93e9-4c93-9070-786223ee682a,Foot finish after energy,Jazz,2021-06-01
record_f685522e-a962-4ea9-abc6-f3e5ca16026a,user_b6757f94-9328-48f2-b4cf-661bcc3ce4ba,Everybody responsibility,Funk,2022-12-31
record_5720ffe4-832f-4b64-a58f-fcbd4878e04c,user_827369a9-7b0e-4937-917e-632d1ed5620f,Organization draw,Latin,2020-10-05
record_e9d52f98-2892-438c-8cf1-031ae55ab2d2,user_e45a0dfb-8675-4ff3-9bd1-4b97d1bd3add,Quickly my really,Disco,2023-12-09
record_68679ae0-b781-4ce6-95b0-6f2ec59c3f19,user_48e21be2-5c5a-445d-b290-92297b33f359,People effect,R&B,2022-10-26
record_19145c49-1305-444a-808b-da859ecb16b6,user_38eaa9f8-e8fc-4ce4-a8ae-ffb882c1786c,Recent,Funk,2021-12-15
record_14b03df2-8441-4d27-9fc5-080d91d06cab,user_5a61e935-0fec-4c35-9bc4-58f9e7ecb067,Agent institution,Hip-Hop,2022-09-29
record_936b5a2b-85c6-4246-af4f-83d873981b37,user_bd870be7-25ae-4da4-8ba4-ccc4defc77df,After forward,Indie,2020-01-23
record_f8be762e-0dad-4f51-a1f6-2029b9023df5,user_24fa5b26-e5b7-47dc-8568-5fb7ed458587,Process western less,Funk,2023-01-12
record_19904a6e-e7c4-4446-a2af-8ac6dcc088c5,user_e55c293b-427f-446d-857c-9648d6434c48,Level popular wall,Latin,2023-09-02
record_46705062-4f8f-4f4a-a654-2918bdf77b33,user_bc206040-0ecd-4160-b082-379527f24ad2,Work successful possible,Folk,2023-09-17
record_c3bd5af5-2dbb-4810-afe7-fb6cb6fe10c7,user_3c5d30bc-0ac2-4df1-8574-892d2f666df6,Catch,Metal,2020-05-24
record_b57f6558-3bac-4c09-8d28-f34762e0e766,user_4abdb786-0853-4401-87f5-21415dfc2670,With of street,Country,2020-02-16
record_f4b2011b-41e0-4325-b4bf-9180ad88f3ad,user_230e7640-510f-4161-99db-32262ae50274,Onto,Classical,2021-12-20
record_10ade465-c371-434c-a11b-9827c7372864,user_bbd5b1a2-0b2a-49c2-82e9-f458c503d70c,Religious recent draw,Metal,2022-10-25
record_116fbdd6-e706-41f7-9809-12e174e48e8f,user_6ac27408-a0a6-4c57-a025-7b6854f7a8e3,Discover rate,Jazz,2021-09-09
record_a4def318-67e8-4b62-82e9-40f11c765016,user_6b7c5eb8-530c-4176-b438-6bce401b476b,Score parent,Jazz,2020-10-14
record_44fa4278-a69e-410f-8e15-435835358c0b,user_adb1c2d0-d859-48df-91eb-3bde3483f516,Amount there drop,Gospel,2022-04-02
record_3bb6989e-e0a9-4b0c-b639-6212a1cd577f,user_f10048b1-22b6-4946-9c64-ee72861f81a0,Evidence story note,Hip-Hop,2023-03-07
record_75b39560-fb4f-492a-9558-5bcb8125f648,user_4507d621-9cf5-4b66-91df-970ae966ce6d,Financial water,Latin,2023-03-27
record_f0fcf759-2df7-437b-b497-b6cc4a3d726e,user_6f33f39e-7659-4673-bd80-ca11394424b0,Hour myself seat,Metal,2021-12-11
record_a882909c-13c6-40e8-8220-508c670c5084,user_fd0b54b6-0aa5-4cb0-8eec-502dc2c5307e,Mission break take,Rock,2023-02-08
record_25c208d8-870f-4c95-926d-b5583f630609,user_3f05cd62-2de4-48e4-848b-09a680b6337a,Town word,Metal,2022-03-18
record_3c4c76bb-1149-4ef5-93da-be9975fbddc7,user_8b404e7f-a42f-40f2-9422-69225efbabf9,Impact wind true,Folk,2022-04-11
record_287ff23b-bc8a-49e9-a948-e0b4632b8acd,user_de985a55-c9fb-4872-9b5e-4e3abe43f4a2,Current way that,Rock,2022-12-07
record_12a99696-f614-4877-b185-78a9798303c3,user_f6cb31b3-48fa-4cd1-a483-7a59189af5d1,Daughter on,Gospel,2023-10-20
record_be8a6602-416d-4296-88de-3aeb560851e9,user_482a8ed6-d5d3-4d7d-a617-19a5a59c2ab5,Price investment,Reggae,2023-05-22
record_be1c3da9-eae8-4420-9eae-de14c5c0ae43,user_1531f5ab-c72f-46c6-bfdb-2458530c9f40,Community project,Classical,2022-12-07
record_e202e055-ecbf-42ed-974e-09ecd6e4c9c8,user_ef41dd17-6885-4103-a9d1-038645ef0a7a,School skin,Electronic,2022-12-15
record_c6007aeb-b699-4d51-9aad-ce7bf73d9a79,user_39c8d999-40e5-4fd0-9cd5-96a93239abee,Never popular by,Soul,2022-12-15
record_e6b9bed2-4cc0-49d4-9827-1309c4efdf91,user_f4e4f063-03e7-4840-bb1e-19c4fecc6c48,Cover,R&B,2022-08-19
record_c5fbf565-7ad4-4f87-9eca-94df59a5abc8,user_2913a0bf-a8c0-401e-9b73-aa7c2544888a,Democrat economic,Reggae,2021-03-10
record_feb7b4d5-035e-4362-b749-03443b0d1246,user_3fbded9d-d59a-435c-863f-55f0b086f01e,Manage trial through,Punk,2021-06-10
record_ac314ebd-1cdc-4d37-9f71-e42b1b7bdc98,user_9ebe7a86-09cf-406d-9ba2-20a751d16f03,Song place,Techno,2022-09-22
record_e21d7680-8382-4d1c-a2ba-e8dfdd16faf4,user_fd5f9010-b064-46bd-b770-8ab5edcc59d8,Woman various,Soul,2022-03-24
record_62501028-6e51-411f-ab29-7aeac15206b2,user_c1843da7-1c73-4a62-976c-b4d9fbd5c68d,Election,Funk,2023-06-28
record_db11704f-964b-429d-a58b-71ab7637c99e,user_d390582a-b07d-43cc-ae2f-a1bebae4bd9d,Performance peace,Hip-Hop,2023-03-02
record_cea680d9-8885-40fd-8512-b35747056fd8,user_2909393f-2d44-4442-a632-80ff5a69d6d9,Call,R&B,2021-11-08
record_26a4bdc2-c50d-41d2-8866-55fc55b42bec,user_d56cafca-9e34-4bf5-be9d-a2c357ffb0d5,Operation think,Jazz,2022-10-31
record_7c663cc0-f24f-4c0e-b2c3-38006149ffaa,user_93dd4bec-b804-44e9-84c9-88af6b5673d7,Write quite,Funk,2023-01-10
record_cc3e3645-fdab-4b4e-a970-690d98dcc4fa,user_10dfa3b6-52b6-43a9-835a-ad110ad50ff2,Officer surface,Latin,2022-02-12
record_29d2aa57-612f-4e33-be3a-8565bd50e14e,user_bc1b3d82-cd8d-4b35-80b2-0aa44e456b2d,Event idea actually,Disco,2023-01-09
record_53f88bda-1e48-4fa2-9bbd-6083c6790281,user_a36de87e-9ff3-44a1-aa89-be6abd2f6457,Feel behavior away,Soul,2023-11-14
record_4d4bac15-d549-47ab-8d70-e269eb461701,user_7f825e94-d6a6-4266-b929-e27f83c202b0,Since,Classical,2021-10-22
record_69516c64-76a9-4715-a899-0d513ee57a79,user_0ff9f9d8-a907-407b-a71a-e02028e4040d,Dark fund,Jazz,2021-12-02
record_28620506-e26d-4153-a70d-0383fba8f2f9,user_cc6102cf-753d-4e7a-8bd1-a5335405b741,Event up,Hip-Hop,2023-02-01
record_8bd6e125-a547-4002-bb12-a04699e6c394,user_46b61b9d-2a8a-4436-b3ca-2c544c46992e,First southern,Electronic,2021-07-28
record_2f3b0a2e-a1ca-4e13-93a4-0ad082ffdeef,user_bf4b7630-b9dd-40f0-b534-ef841ea43194,Task administration,Gospel,2020-07-08
record_8d4d518b-e60b-4eaa-844b-22d8e340d3b8,user_94b498aa-2a93-4e8e-8efa-229604beea67,Conference group end,Folk,2022-05-17
record_438e7ddb-d3d6-421f-a3a8-37dc1f0f7f96,user_262fa3ae-4706-432c-b54f-600abb327fb9,Tonight prepare author,Techno,2023-01-09
record_f6dee316-dc00-49f3-a72f-c80fad1c2468,user_81b9d067-7877-43cf-9793-6fb5ea6f4921,Somebody evidence,Pop,2022-05-25
record_45af6edf-7730-4456-a75f-7a6369660fbf,user_be70d0e1-070d-49e6-9d38-bc3b50036361,Factor great,Electronic,2020-12-28
record_dafaf6b5-337e-4c6e-be26-3b45d32bcbb2,user_698f1aee-2361-4313-b1fb-b1a04fc0dc11,Sister human,Funk,2020-04-02
record_b17c11b8-5427-4ef1-a46a-75712c6d3945,user_4d3f9e9e-85d4-4656-83d3-6d5844b7bdfd,Body marriage point,Classical,2020-12-05
record_2c9424e7-8d62-4bfb-b498-486959eb2f8d,user_eb19feb8-f1ce-477b-8669-6e7c2027eaf8,Exactly less,Techno,2023-09-22
record_4456e933-c880-49e4-9312-729e44737d9e,user_711954e7-3ed5-4894-adc0-cd8cbc14e1b6,Wall allow,Techno,2022-04-16
record_2ee5f894-12cb-4460-9307-8a65965e057a,user_b9f34628-d1ed-4dd3-b5f8-9a5c0663bb23,Fight only animal,Hip-Hop,2021-12-25
record_79603d8c-f81a-4702-b1b3-76b21024be47,user_5c5440c4-3e24-4aa2-885a-4e1b262225d2,Of,Soul,2022-10-13
record_3e3234fe-828f-421c-9f96-cca6b3ea86a0,user_83562067-9930-44d8-abfd-9ac6d18ac9ff,Heavy reflect,Country,2021-01-26
record_e73434f5-e1e8-4b9e-8561-c955bda63a51,user_545bd979-3f64-43f1-aa21-c02f4b7d574b,Value past last,Funk,2020-12-14
record_7feeec7d-43bf-446c-8f87-f88ca4b9ccac,user_d055c6b9-f09a-4ec7-bde2-bc10fc9be316,Their rich product,Metal,2020-12-26
record_f025ecbc-9ff3-461e-b712-78a0dfa2b5f4,user_51db6882-d754-4671-98cb-5b0a2e7c8210,Blue true now,Punk,2021-05-12
record_4b767991-ff73-4219-9527-5ed1758a3128,user_8588d81c-301f-4444-ae70-de6d34931cbd,Indeed management parent,Latin,2023-05-01
record_c3f90c67-bf41-4f04-89cc-afbfa663a4cc,user_3eafc224-9976-446a-ae84-1303e6775331,Role push,Pop,2021-06-09
record_fd80672c-632d-448e-821b-6b6ccb913a56,user_25b40ebe-cb50-4a6c-b012-97de3e1cd0e5,First cell,Metal,2020-09-21
record_54769c38-d17a-4bf2-8fb1-5c3b1478dcd1,user_ef56ef95-1bcd-4591-b1ba-393c6f101e80,Many executive environment,Rock,2022-08-07
record_1a14a479-c7d6-4aee-86c2-378285aee31a,user_a02449e3-a328-47db-99e3-3ea3acf0f7ef,Meet year,Indie,2020-02-15
record_ef37ca2b-ff97-49b0-8eaa-b1a426c283f9,user_80b63994-e7f9-4f57-ab42-88683a70d183,Exactly life,Hip-Hop,2021-10-25
record_260b88f1-7b3c-4367-b4c5-da1ac8b218ba,user_a5bef8b6-f8f0-47e1-8533-c48e6c257429,Less middle,Electronic,2021-02-16
record_0c2bba22-c85f-4711-9494-1a36473e7d62,user_ef8fe53a-cbe0-4ec0-a2c0-1df9c4057f28,Family,Gospel,2020-04-03
record_df838969-26c5-40ec-b019-f2290638a938,user_4a9ffbf6-5430-45a4-b68e-0ae6f6737d8b,Term,Reggae,2021-09-03
record_92962e07-d73e-461f-8820-3ee3d700d6c4,user_270ed6ba-8f25-4337-abc7-70d6d603c214,Team already challenge,Gospel,2023-04-15
record_2b274770-1c14-4203-8cfa-30bd7153ed33,user_6992006b-130a-4ec4-ae76-ebf8739ccf0b,Add,Metal,2020-05-31
record_8ff12077-dd4b-40f0-a0ce-4530ee91f567,user_f26dab99-8635-4aad-9355-8e707f7dbc50,Table offer because,Punk,2021-12-08
record_655408b9-ca32-4587-8d73-de0404371192,user_18c7c788-f894-4faf-bcfd-a85147994435,Environmental indeed,Electronic,2020-01-23
record_635c85ea-b859-4d12-905a-896feec13863,user_00b96163-8656-463c-b5f9-3373f0d8ef8f,Manage one glass,Punk,2021-08-04
record_4b31dcb6-9c27-4675-80e5-12ffdba0c7eb,user_28adf184-ee46-4e5e-99e7-c8bc77644a91,One table know kind,Latin,2023-08-15
record_95754f72-e6b4-4122-8638-e630d83400ef,user_0b710364-1a30-4352-81b1-49d97055713c,Form,Latin,2023-01-18
record_d85371ab-2b58-4a6c-8b0c-8fb989c850a0,user_705aee01-9e59-4941-a09a-3dcd86480e86,Red out population reality,Blues,2021-05-02
record_22ea7046-94c2-4a0c-af63-b86468d1dfc8,user_e7925774-f0e0-41f2-8f39-7747868782c4,Long address,Electronic,2022-06-02
record_ec8f601a-24e9-43c6-b408-6097140e6124,user_f5f0530f-e229-401c-b2e7-10a16aec386c,Interesting,Rock,2022-09-29
record_a123282c-ef12-4428-b531-911fb49ceeb2,user_7da5ccfb-2e70-4bbb-9ffc-f87e45f87cf1,Admit other,Electronic,2023-08-15
record_b9a6fcfa-db65-4b5c-be6e-5e654dfe6565,user_7f839d86-1ac5-40e8-adca-e98460a5da7d,Into movie travel stuff,Rock,2020-04-10
